pays,population
Afghanistan,29 121 286
Aland Islands,26 711
Albania,2 986 952
Algeria,34 586 184
American Samoa,57 881
Andorra,84 000
Angola,13 068 161
Anguilla,13 254
Antarctica,0
Antigua and Barbuda,86 754
Argentina,41 343 201
Armenia,2 968 000
Aruba,71 566
Australia,21 515 754
Austria,8 205 000
Azerbaijan,8 303 512
Bahamas,301 790
Bahrain,738 004
Bangladesh,156 118 464
Barbados,285 653
Belarus,9 685 000
Belgium,10 403 000
Belize,314 522
Benin,9 056 010
Bermuda,65 365
Bhutan,699 847
Bolivia,9 947 418
Bonaire  Saint Eustatius and Saba,18 012
Bosnia and Herzegovina,4 590 000
Botswana,2 029 307
Bouvet Island,0
Brazil,201 103 330
British Indian Ocean Territory,4 000
British Virgin Islands,21 730
Brunei,395 027
Bulgaria,7 148 785
Burkina Faso,16 241 811
Burundi,9 863 117
Cambodia,14 453 680
Cameroon,19 294 149
Canada,33 679 000
Cape Verde,508 659
Cayman Islands,44 270
Central African Republic,4 844 927
Chad,10 543 464
Chile,16 746 491
Christmas Island,1 500
Cocos Islands,628
Colombia,44 205 293
Comoros,773 407
Cook Islands,21 388
Costa Rica,4 516 220
Croatia,4 491 000
Cuba,11 423 000
Curacao,141 766
Cyprus,1 102 677
Czech Republic,10 476 000
Democratic Republic of the Congo,70 916 439
Denmark,5 484 000
Djibouti,740 528
Dominica,72 813
Dominican Republic,9 823 821
East Timor,1 154 625
Ecuador,14 790 608
Egypt,80 471 869
El Salvador,6 052 064
Equatorial Guinea,1 014 999
Eritrea,5 792 984
Estonia,1 291 170
Ethiopia,88 013 491
Faroe Islands,48 228
Fiji,875 983
Finland,5 244 000
France,64 768 389
French Guiana,195 506
French Polynesia,270 485
French Southern Territories,140
Gabon,1 545 255
Gambia,1 593 256
Georgia,4 630 000
Germany,81 802 257
Ghana,24 339 838
Gibraltar,27 884
Greece,11 000 000
Greenland,56 375
Grenada,107 818
Guadeloupe,443 000
Guam,159 358
Guatemala,13 550 440
Guernsey,65 228
Guinea,10 324 025
Guinea-Bissau,1 565 126
Guyana,748 486
Haiti,9 648 924
Heard Island and McDonald Islands,0
Honduras,7 989 415
Hungary,9 982 000
Iceland,308 910
Indonesia,242 968 342
Iran,76 923 300
Iraq,29 671 605
Ireland,4 622 917
Isle of Man,75 049
Israel,7 353 985
Italy,60 340 328
Ivory Coast,21 058 798
Jamaica,2 847 232
Japan,127 288 000
Jersey,90 812
Jordan,6 407 085
Kazakhstan,15 340 000
Kenya,40 046 566
Kiribati,92 533
Kosovo,1 800 000
Kuwait,2 789 132
Kyrgyzstan,5 508 626
Laos,6 368 162
Latvia,2 217 969
Lebanon,4 125 247
Lesotho,1 919 552
Liberia,3 685 076
Libya,6 461 454
Liechtenstein,35 000
Lithuania,3 565 000
Luxembourg,497 538
Macedonia,2 062 294
Madagascar,21 281 844
Malawi,15 447 500
Malaysia,28 274 729
Maldives,395 650
Mali,13 796 354
Malta,403 000
Marshall Islands,65 859
Martinique,432 900
Mauritania,3 205 060
Mauritius,1 294 104
Mayotte,159 042
Mexico,112 468 855
Micronesia,107 708
Moldova,4 324 000
Monaco,32 965
Mongolia,3 086 918
Montenegro,666 730
Montserrat,9 341
Morocco,31 627 428
Mozambique,22 061 451
Myanmar,53 414 374
Namibia,2 128 471
Nauru,10 065
Nepal,28 951 852
Netherlands,16 645 000
Netherlands Antilles,136 197
New Caledonia,216 494
New Zealand,4 252 277
Nicaragua,5 995 928
Niger,15 878 271
Nigeria,154 000 000
Niue,2 166
Norfolk Island,1 828
North Korea,22 912 177
Northern Mariana Islands,53 883
Norway,5 009 150
Oman,2 967 717
Pakistan,184 404 791
Palau,19 907
Palestinian Territory,3 800 000
Panama,3 410 676
Papua New Guinea,6 064 515
Paraguay,6 375 830
Peru,29 907 003
Philippines,99 900 177
Pitcairn,46
Poland,38 500 000
Portugal,10 676 000
Puerto Rico,3 916 632
Qatar,840 926
Republic of the Congo,3 039 126
Reunion,776 948
Romania,21 959 278
Russia,140 702 000
Rwanda,11 055 976
Saint Barthelemy,8 450
Saint Helena,7 460
Saint Kitts and Nevis,51 134
Saint Lucia,160 922
Saint Martin,35 925
Saint Pierre and Miquelon,7 012
Saint Vincent and the Grenadines,104 217
Samoa,192 001
San Marino,31 477
Sao Tome and Principe,175 808
Saudi Arabia,25 731 776
Senegal,12 323 252
Serbia,7 344 847
Serbia and Montenegro,10 829 175
Seychelles,88 340
Sierra Leone,5 245 695
Singapore,4 701 069
Sint Maarten,37 429
Slovakia,5 455 000
Slovenia,2 007 000
Solomon Islands,559 198
Somalia,10 112 453
South Africa,49 000 000
South Georgia and the South Sandwich Islands,30
South Korea,48 422 644
South Sudan,8 260 490
Spain,46 505 963
Sri Lanka,21 513 990
Sudan,35 000 000
Suriname,492 829
Svalbard and Jan Mayen,2 550
Swaziland,1 354 051
Sweden,9 555 893
Switzerland,7 581 000
Syria,22 198 110
Tajikistan,7 487 489
Tanzania,41 892 895
Thailand,67 089 500
Togo,6 587 239
Tokelau,1 466
Tonga,122 580
Trinidad and Tobago,1 228 691
Tunisia,10 589 025
Turkey,77 804 122
Turkmenistan,4 940 916
Turks and Caicos Islands,20 556
Tuvalu,10 472
U.S. Virgin Islands,108 708
Uganda,33 398 682
Ukraine,45 415 596
United Arab Emirates,4 975 593
United Kingdom,62 348 447
United States,310 232 863
United States Minor Outlying Islands,0
Uruguay,3 477 000
Uzbekistan,27 865 738
Vanuatu,221 552
Vatican,921
Venezuela,27 223 228
Vietnam,89 571 130
Wallis and Futuna,16 025
Western Sahara,273 008
Yemen,23 495 361
Zambia,13 460 305
Zimbabwe,11 651 858
