,item,volume (m3),pièce
0,placard,0.5,cuisine
1,chaise,0.2,cuisine
2,table de cuisine,0.7,cuisine
3,four micro-ondes,0.5,cuisine
4,four seul,0.7,cuisine
5,plaques de cuisson,0.02,cuisine
6,chaise haute,0.3,cuisine
7,réfrigérateur,1.5,cuisine
8,frigo américain,2.0,cuisine
9,congélateur,1.0,cuisine
10,cuisinière,0.5,cuisine
11,lave-vaisselle,0.5,cuisine
12,téléviseur,0.3,salon
13,meuble tele / hi-fi,0.5,salon
14,canape droit 1 place,0.8,salon
15,canape angle + meridienne / 3 places,2.9,salon
16,meridienne seule,1.26,salon
17,pouf,0.3,salon
18,fauteuil,0.6,salon
19,table basse,0.3,salon
20,bibliothèque,1.5,salon
21,commode,1.2,salon
22,armoire 1 porte,0.24,salon
23,lampe sur pied / luminaire,0.25,salon
24,table 2 personnes,0.41,salle à manger
25,table 4 personnes,1.4,salle à manger
26,buffet,2.0,salle à manger
