,articles,url,largeur_mm,hauteur_mm,profondeur_mm,volume_utile_m3
0,CARTON STANDARD RENFORCÉ,https://www.fmd-sa.com//catalogue/1/cartons-demenagement/41/carton-demenagement,550,350,300,0.06
1,CARTON STANDARD RENFORCÉ ++,https://www.fmd-sa.com//catalogue/1/cartons-demenagement/42/carton-demenagement-tres-resistant,550,350,300,0.06
2,CARTON SUPERDEM,https://www.fmd-sa.com//catalogue/1/cartons-demenagement/43/carton-garde-meuble-export,550,350,330,0.06
3,CARTON LIVRES,https://www.fmd-sa.com//catalogue/1/cartons-demenagement/44/carton-demenagement-objets-lourds,350,275,300,0.03
4,CARTON INFORMATIQUE - Grand Modèle,https://www.fmd-sa.com//catalogue/1/cartons-demenagement/71/carton-informatique-grand-modele,550,465,610,0.16
5,CARTON INFORMATIQUE - Petit Modèle,https://www.fmd-sa.com//catalogue/1/cartons-demenagement/72/carton-informatique-petit-modele,525,425,470,0.1
6,CARTON ABAT-JOUR,https://www.fmd-sa.com//catalogue/1/cartons-demenagement/66/carton-abat-jour,700,700,500,0.24
7,CARTON HALOGÈNE,https://www.fmd-sa.com//catalogue/1/cartons-demenagement/67/carton-halogene,2000,350,350,0.24
8,CARTON TABLEAU TÉLESCOPIQUE,https://www.fmd-sa.com//catalogue/1/cartons-demenagement/65/carton-tableau-telescopique,1000,150,900,0.14
9,CARTON BOUTEILLE,https://www.fmd-sa.com//catalogue/1/cartons-demenagement/46/carton-bouteille,339,253,330,0.03
10,CARTON POUR KIT ISOTHERME,https://www.fmd-sa.com//catalogue/1/cartons-demenagement/68/carton-pour-kit-isotherme,350,350,465,0.06
12,BARREL PETIT MODELE,https://www.fmd-sa.com//catalogue/1/cartons-demenagement/216/carton-demenagement-vaisselle,450,450,565,0.11
13,BARREL GRAND MODELE,https://www.fmd-sa.com//catalogue/1/cartons-demenagement/220/carton-demenagement-vaisselle-et-verres,450,450,735,0.15
16,PENDERIE CONFECTION,https://www.fmd-sa.com//catalogue/1/cartons-demenagement/238/penderie-confection,500,500,1200,0.3
17,PENDERIE ,https://www.fmd-sa.com//catalogue/1/cartons-demenagement/49/carton-penderie-basse,500,500,820,0.2
19,CONTENEUR ARCHIVES,https://www.fmd-sa.com//catalogue/1/cartons-demenagement/235/conteneur-archives,530,360,270,0.05
21,CORNIÈRE À TABLEAU,https://www.fmd-sa.com//catalogue/1/cartons-demenagement/63/carton-de-protection-tableaux-et-cadres,820,90,565,0.04
23,CONTENEUR EXPORT - Modèle C.09,https://www.fmd-sa.com//catalogue/1/cartons-demenagement/75/conteneur-export-modele-c-09,1190,990,830,0.98
24,CONTENEUR EXPORT - Modèle GMC,https://www.fmd-sa.com//catalogue/1/cartons-demenagement/76/conteneur-export-modele-gmc,1529,1447,1123,2.48
25,CONTENEUR EXPORT - Modèle CXC,https://www.fmd-sa.com//catalogue/1/cartons-demenagement/77/conteneur-export-modele-cxc,1554,2023,1270,3.99
26,CONTENEUR EXPORT - Modèle 580,https://www.fmd-sa.com//catalogue/1/cartons-demenagement/78/conteneur-export-modele-580,2210,2154,1107,5.27
